,course_title,start_date,students_number
309,Веб-дизайн PRO 2.0,2018-01-01,0
310,Веб-дизайн PRO 2.0,2018-02-01,0
311,Веб-дизайн PRO 2.0,2018-03-01,0
312,Веб-дизайн PRO 2.0,2018-04-01,0
313,Веб-дизайн PRO 2.0,2018-05-01,0
314,Веб-дизайн PRO 2.0,2018-06-01,194
315,Веб-дизайн PRO 2.0,2018-07-01,278
316,Веб-дизайн PRO 2.0,2018-08-01,275
317,Веб-дизайн PRO 2.0,2018-09-01,272
318,Веб-дизайн PRO 2.0,2018-10-01,266
319,Веб-дизайн PRO 2.0,2018-11-01,251
320,Веб-дизайн PRO 2.0,2018-12-01,411
321,Веб-дизайн PRO 2.0,2019-01-01,396
322,Веб-дизайн PRO 2.0,2019-02-01,257
323,Веб-дизайн PRO 2.0,2019-03-01,245
324,Веб-дизайн PRO 2.0,2019-04-01,244
325,Веб-дизайн PRO 2.0,2019-05-01,251
326,Веб-дизайн PRO 2.0,2019-06-01,257
327,Веб-дизайн PRO 2.0,2019-07-01,220
328,UX-дизайн,2016-03-01,0
329,UX-дизайн,2016-04-01,0
330,UX-дизайн,2016-05-01,0
331,UX-дизайн,2016-06-01,0
332,UX-дизайн,2016-07-01,0
333,UX-дизайн,2016-08-01,0
334,UX-дизайн,2016-09-01,0
335,UX-дизайн,2016-10-01,0
336,UX-дизайн,2016-11-01,2
337,UX-дизайн,2016-12-01,0
338,UX-дизайн,2017-01-01,2
339,UX-дизайн,2017-02-01,1
340,UX-дизайн,2017-03-01,1
341,UX-дизайн,2017-04-01,1
342,UX-дизайн,2017-05-01,2
343,UX-дизайн,2017-06-01,2
344,UX-дизайн,2017-07-01,2
345,UX-дизайн,2017-08-01,3
346,UX-дизайн,2017-09-01,3
347,UX-дизайн,2017-10-01,3
348,UX-дизайн,2017-11-01,2
349,UX-дизайн,2017-12-01,2
350,UX-дизайн,2018-01-01,43
351,UX-дизайн,2018-02-01,112
352,UX-дизайн,2018-03-01,150
353,UX-дизайн,2018-04-01,162
354,UX-дизайн,2018-05-01,166
355,UX-дизайн,2018-06-01,274
356,UX-дизайн,2018-07-01,264
357,UX-дизайн,2018-08-01,219
